time,original,filtered
0.320000,-0.000000,0.000000
0.321000,0.784545,-0.285278
0.322000,0.881678,-0.540928
0.323000,0.515124,-0.742576
0.324000,0.475528,-0.872588
0.325000,1.000000,-0.918888
0.326000,1.426585,-0.875240
0.327000,1.102910,-0.744215
0.328000,0.293893,-0.539289
0.329000,-0.166511,-0.282626
0.330000,-0.000000,-0.000000
0.331000,0.166511,0.282626
0.332000,-0.293893,0.539289
0.333000,-1.102910,0.744215
0.334000,-1.426585,0.875240
0.335000,-1.000000,0.918888
0.336000,-0.475528,0.872588
0.337000,-0.515124,0.742576
0.338000,-0.881678,0.540928
0.339000,-0.784545,0.285278
0.340000,0.000000,-0.000000
0.341000,0.784545,-0.285278
0.342000,0.881678,-0.540928
0.343000,0.515124,-0.742576
0.344000,0.475528,-0.872588
0.345000,1.000000,-0.918888
0.346000,1.426585,-0.875240
0.347000,1.102910,-0.744215
0.348000,0.293893,-0.539289
0.349000,-0.166511,-0.282626
0.350000,-0.000000,-0.000000
0.351000,0.166511,0.282626
0.352000,-0.293893,0.539289
0.353000,-1.102910,0.744215
0.354000,-1.426585,0.875240
0.355000,-1.000000,0.918888
0.356000,-0.475528,0.872588
0.357000,-0.515124,0.742576
0.358000,-0.881678,0.540928
0.359000,-0.784545,0.285278
0.360000,-0.000000,0.000000
0.361000,0.784545,-0.285278
0.362000,0.881678,-0.540928
0.363000,0.515124,-0.742576
0.364000,0.475528,-0.872588
0.365000,1.000000,-0.918888
0.366000,1.426585,-0.875240
0.367000,1.102910,-0.744215
0.368000,0.293893,-0.539289
0.369000,-0.166511,-0.282626
0.370000,-0.000000,-0.000000
0.371000,0.166511,0.282626
0.372000,-0.293893,0.539289
0.373000,-1.102910,0.744215
0.374000,-1.426585,0.875240
0.375000,-1.000000,0.918888
0.376000,-0.475528,0.872588
0.377000,-0.515124,0.742576
0.378000,-0.881678,0.540928
0.379000,-0.784545,0.285278
0.380000,0.000000,0.000000
0.381000,0.784545,-0.285278
0.382000,0.881678,-0.540928
0.383000,0.515124,-0.742576
0.384000,0.475528,-0.872588
0.385000,1.000000,-0.918888
0.386000,1.426585,-0.875240
0.387000,1.102910,-0.744215
0.388000,0.293893,-0.539289
0.389000,-0.166511,-0.282626
0.390000,0.000000,0.000000
0.391000,0.166511,0.282626
0.392000,-0.293893,0.539289
